SL No,SysObjectID,Brand,Model,Device Category,Unity Category
1,1.3.6.1.4.1.9,CISCO,CATALYST 4000,Switch,Switch
2,1.3.6.1.4.1.9.1.1,CISCO,GS,Switch,Switch
3,1.3.6.1.4.1.9.1.10,CISCO,2000,Switch,Switch
4,1.3.6.1.4.1.9.1.100,CISCO,763,Router,Router
5,1.3.6.1.4.1.9.1.1000,CISCO,CATALYST SWITCH MODULE 3012,Switch,Switch
6,1.3.6.1.4.1.9.1.1001,CISCO,CATALYST 3125G,Switch,Switch
7,1.3.6.1.4.1.9.1.1002,CISCO,CATALYST 3125X,Switch,Switch
8,1.3.6.1.4.1.9.1.1003,CISCO,TSPRIG2,Not Found,Not Found
9,1.3.6.1.4.1.9.1.1004,CISCO,CATALYST 4928-10GE,Switch,Switch
10,1.3.6.1.4.1.9.1.1005,CISCO,CATALYST 2960-48TT-S,Switch,Switch
11,1.3.6.1.4.1.9.1.1006,CISCO,CATALYST 2960-8TC-S,Switch,Switch
12,1.3.6.1.4.1.9.1.1007,CISCO,ME 3400EG-2CS-A,Switch,Switch
13,1.3.6.1.4.1.9.1.1008,CISCO,ME 3400EG-12CS-M,Switch,Switch
14,1.3.6.1.4.1.9.1.1009,CISCO,ME 3400E-24TS-M,Switch,Switch
15,1.3.6.1.4.1.9.1.101,CISCO,764,Router,Router
16,1.3.6.1.4.1.9.1.1010,CISCO,IPS SSC-5 VIRTUAL,Virtual Machine,Virtual Machine
17,1.3.6.1.4.1.9.1.1011,CISCO,SR 520FE,Server,Server
18,1.3.6.1.4.1.9.1.1012,CISCO,SR 520ADSL,Router,Router
19,1.3.6.1.4.1.9.1.1013,CISCO,SR 520ADSLI,Router,Router
20,1.3.6.1.4.1.9.1.1014,CISCO,MWR 2941 DC,Router,Router
21,1.3.6.1.4.1.9.1.1015,CISCO,CATALYST 3560-12PC-S,Switch,Switch
22,1.3.6.1.4.1.9.1.1016,CISCO,CATALYST 2960-48PST-L,Switch,Switch
23,1.3.6.1.4.1.9.1.1017,CISCO,ASR9010,Router,Router
24,1.3.6.1.4.1.9.1.1018,CISCO,ASR9K,Router,Router
25,1.3.6.1.4.1.9.1.1019,CISCO,CATALYST 3560V2-24DC,Switch,Switch
26,1.3.6.1.4.1.9.1.102,CISCO,765 ISDN ACCESS ROUTER,Router,Router
27,1.3.6.1.4.1.9.1.1020,CISCO,CATALYST 3560V2-24TS,Switch,Switch
28,1.3.6.1.4.1.9.1.1021,CISCO,CATALYST 3560V2-24PS,Switch,Switch
29,1.3.6.1.4.1.9.1.1022,CISCO,CATALYST 3750V2-24TS,Switch,Switch
30,1.3.6.1.4.1.9.1.1023,CISCO,CATALYST 3750V2-24PS,Switch,Switch
31,1.3.6.1.4.1.9.1.1024,CISCO,CATALYST 3560V2 48TS,Switch,Switch
32,1.3.6.1.4.1.9.1.1025,CISCO,CATALYST 3560V2-48PS,Switch,Switch
33,1.3.6.1.4.1.9.1.1026,CISCO,CATALYST 3750V2-48TS,Switch,Switch
34,1.3.6.1.4.1.9.1.1027,CISCO,CATALYST 3750V2-48PS,Switch,Switch
35,1.3.6.1.4.1.9.1.1028,CISCO,HWIC CABLED2,Router,Router
36,1.3.6.1.4.1.9.1.1029,CISCO,HWIC CABLE EJ2,Router,Router
37,1.3.6.1.4.1.9.1.103,CISCO,766 ISDN ACCESS ROUTER,Router,Router
38,1.3.6.1.4.1.9.1.1030,CISCO,1430,Switch,Switch
39,1.3.6.1.4.1.9.1.1031,CISCO,AIR 1430,Connector,Connector
40,1.3.6.1.4.1.9.1.1032,CISCO,NAM 2204,Switch,Switch
41,1.3.6.1.4.1.9.1.1033,CISCO,NAM 2220,Switch,Switch
42,1.3.6.1.4.1.9.1.1034,CISCO,AIR-AP1142N-T-K9,Wireless Access Point (WAP),Wireless Access Point (WAP)
43,1.3.6.1.4.1.9.1.1035,CISCO,AIR-AP1142,Wireless Access Point (WAP),Wireless Access Point (WAP)
44,1.3.6.1.4.1.9.1.1036,CISCO,ASR 14000-4S,Router,Router
45,1.3.6.1.4.1.9.1.1037,CISCO,ASR 14000-8S,Router,Router
46,1.3.6.1.4.1.9.1.1038,CISCO,1800 SERIES,Router,Router
47,1.3.6.1.4.1.9.1.1039,CISCO,IPS SSC-5,Firewall,Firewall
48,1.3.6.1.4.1.9.1.104,CISCO,PRO 2520,Switch,Switch
49,1.3.6.1.4.1.9.1.1040,CISCO,887V,Switch,Switch
50,1.3.6.1.4.1.9.1.1041,CISCO,3945,Router,Router
51,1.3.6.1.4.1.9.1.1042,CISCO,3925,Router,Router
52,1.3.6.1.4.1.9.1.1043,CISCO,2951,Router,Router
53,1.3.6.1.4.1.9.1.1044,CISCO,2921,Router,Router
54,1.3.6.1.4.1.9.1.1045,CISCO,2911,Router,Router
55,1.3.6.1.4.1.9.1.1046,CISCO,2901,Router,Router
56,1.3.6.1.4.1.9.1.1047,CISCO,1941,Router,Router
57,1.3.6.1.4.1.9.1.1048,CISCO,SM-ES2-16-P,Switch,Switch
58,1.3.6.1.4.1.9.1.1049,CISCO,ETHERSWITCH MODULE SM-ES3-16-P,Switch,Switch
59,1.3.6.1.4.1.9.1.105,CISCO,PRO 2522,Router,Router
60,1.3.6.1.4.1.9.1.1050,CISCO,ETHERSWITCH MODULE SM-ES3G-16-P,Switch,Switch
61,1.3.6.1.4.1.9.1.1051,CISCO,ETHERSWITCH MODULE SM-ES2-24,Switch,Switch
62,1.3.6.1.4.1.9.1.1052,CISCO,ETHERSWITCH MODULE SM-ES2-24-P,Switch,Switch
63,1.3.6.1.4.1.9.1.1053,CISCO,ETHERSWITCH MODULE SM-ES3-24-P,Switch,Switch
64,1.3.6.1.4.1.9.1.1054,CISCO,ETHERSWITCH MODULE SM-ES3G-24-P,Switch,Switch
65,1.3.6.1.4.1.9.1.1055,CISCO,SMXD2K48ES2SFP,Switch,Switch
66,1.3.6.1.4.1.9.1.1056,CISCO,ETHERSWITCH MODULE SMXD3K48ES2SFPPOE,Switch,Switch
67,1.3.6.1.4.1.9.1.1057,CISCO,ETHERSWITCH MODULE SM-D-ES3G-48-P,Switch,Switch
68,1.3.6.1.4.1.9.1.1058,CISCO,ESW 520 24PK9,Switch,Switch
69,1.3.6.1.4.1.9.1.1059,CISCO,ESW 540 24PK9,Switch,Switch
70,1.3.6.1.4.1.9.1.106,CISCO,PRO 2524,Router,Router
71,1.3.6.1.4.1.9.1.1060,CISCO,ESW 520 48PK9,Switch,Switch
72,1.3.6.1.4.1.9.1.1061,CISCO,ESW 520 24K9,Switch,Switch
73,1.3.6.1.4.1.9.1.1062,CISCO,ESW 540 24K9,Switch,Switch
74,1.3.6.1.4.1.9.1.1063,CISCO,ESW 520 48K9,Switch,Switch
75,1.3.6.1.4.1.9.1.1064,CISCO,ESW 540 48K9,Switch,Switch
76,1.3.6.1.4.1.9.1.1065,CISCO,1861,Router,Router
77,1.3.6.1.4.1.9.1.1066,CISCO,UC 520,Switch,Switch
78,1.3.6.1.4.1.9.1.1067,CISCO,CATALYST 2975GS48PSL,Switch,Switch
79,1.3.6.1.4.1.9.1.1068,CISCO,CAT C2975STACK,Switch,Switch
80,1.3.6.1.4.1.9.1.1069,CISCO,5508 WIRELESS CONTROLLER,LAN,LAN
81,1.3.6.1.4.1.9.1.107,CISCO,LS1010,Switch,Switch
82,1.3.6.1.4.1.9.1.1070,CISCO,SR 520 T1,Router,Router
83,1.3.6.1.4.1.9.1.1071,CISCO,PWR C3900 POE,Router,Router
84,1.3.6.1.4.1.9.1.1072,CISCO,PWR C3900 AC,Router,Router
85,1.3.6.1.4.1.9.1.1073,CISCO,PWR C2921 POE,Router,Router
86,1.3.6.1.4.1.9.1.1074,CISCO,PWR C2921 AC,Router,Router
87,1.3.6.1.4.1.9.1.1075,CISCO,PWR C2911 POE,Router,Router
88,1.3.6.1.4.1.9.1.1076,CISCO,PWR C2911 AC,Router,Router
89,1.3.6.1.4.1.9.1.1077,CISCO,PWR C2901 POE,Router,Router
90,1.3.6.1.4.1.9.1.1078,CISCO,PWR C2901 AC,Router,Router
91,1.3.6.1.4.1.9.1.1079,CISCO,PWR C1941 POE,Router,Router
92,1.3.6.1.4.1.9.1.108,CISCO,7206,Router,Router
93,1.3.6.1.4.1.9.1.1080,CISCO,PWR C3900 DC,Router,Router
94,1.3.6.1.4.1.9.1.1081,CISCO,PWR C2921C2951 DC,Router,Router
95,1.3.6.1.4.1.9.1.1082,CISCO,PWR C2911 DC,Router,Router
96,1.3.6.1.4.1.9.1.1083,CISCO,RPS ADPTR C2921,Router,Router
97,1.3.6.1.4.1.9.1.1084,CISCO,RPS ADPTR C2911,Router,Router
98,1.3.6.1.4.1.9.1.1085,CISCO,IPS SSC2,Firewall,Firewall
99,1.3.6.1.4.1.9.1.1086,CISCO,IPS SSC2VIRTUAL,Virtual Machine,Virtual Machine
100,1.3.6.1.4.1.9.1.1087,CISCO,CATALYST BS3140XS,Switch,Switch
101,1.3.6.1.4.1.9.1.1088,CISCO,CATALYST BS3140GS,Switch,Switch
102,1.3.6.1.4.1.9.1.1089,CISCO,CATALYST BS3042FSC,Switch,Switch
103,1.3.6.1.4.1.9.1.109,CISCO,AS5200,Server,Server
104,1.3.6.1.4.1.9.1.1090,CISCO,CATALYST BS3150XS,Switch,Switch
105,1.3.6.1.4.1.9.1.1091,CISCO,CATALYST BS3150GS,Switch,Switch
106,1.3.6.1.4.1.9.1.1092,CISCO,CATALYST BS3052NEC,Switch,Switch
107,1.3.6.1.4.1.9.1.1093,CISCO,CATALYST BS3140 STACK,Switch,Switch
108,1.3.6.1.4.1.9.1.1094,CISCO,CATALYST BS3150 STACK,Switch,Switch
109,1.3.6.1.4.1.9.1.1095,CISCO,1941W,Router,Router
110,1.3.6.1.4.1.9.1.1096,CISCO,C888E,Router,Router
111,1.3.6.1.4.1.9.1.1097,CISCO,888EG,Router,Router
112,1.3.6.1.4.1.9.1.1098,CISCO,888EB,Router,Router
113,1.3.6.1.4.1.9.1.1099,CISCO,888EF,Router,Router
114,1.3.6.1.4.1.9.1.11,CISCO,AGSPLUS LIGHTSTREAM ATM SWITCH,Switch,Switch
115,1.3.6.1.4.1.9.1.110,CISCO,3640,Router,Router
116,1.3.6.1.4.1.9.1.1100,CISCO,888SRST,Router,Router
117,1.3.6.1.4.1.9.1.1101,CISCO,ASA 5505W,Firewall,Firewall
118,1.3.6.1.4.1.9.1.1102,CISCO,3845NV,Router,Router
119,1.3.6.1.4.1.9.1.1103,CISCO,3825NV,Router,Router
120,1.3.6.1.4.1.9.1.1104,CISCO,CATALYST 2350-48TD-S,Switch,Switch
121,1.3.6.1.4.1.9.1.1105,CISCO,887,Router,Router
122,1.3.6.1.4.1.9.1.1106,CISCO,VG250,Voice Gateway,Voice Gateway
123,1.3.6.1.4.1.9.1.1107,CISCO,VG226E,Voice Gateway,Voice Gateway
124,1.3.6.1.4.1.9.1.1108,CISCO,DSIBM8GFCK9,Not Found,Not Found
125,1.3.6.1.4.1.9.1.1109,CISCO,DSHP8GFCK9,Switch,Switch
126,1.3.6.1.4.1.9.1.111,CISCO,CATALYST 3500,Switch,Switch
127,1.3.6.1.4.1.9.1.1110,CISCO,DSDELL8GFCK9,Switch,Switch
128,1.3.6.1.4.1.9.1.1111,CISCO,DSC9148K9,Switch,Switch
129,1.3.6.1.4.1.9.1.1112,CISCO,CEVIRTUALBLADE,Virtual Machine,Virtual Machine
130,1.3.6.1.4.1.9.1.1113,CISCO,CDSCDE 420,Not Found,Not Found
131,1.3.6.1.4.1.9.1.1114,CISCO,CDSCDE 220,Not Found,Not Found
132,1.3.6.1.4.1.9.1.1115,CISCO,CDSCDE 110,Not Found,Not Found
133,1.3.6.1.4.1.9.1.1116,CISCO,ASR 1002,Router,Router
134,1.3.6.1.4.1.9.1.1117,CISCO,SECURE ACCESS CONTROL SYSTEM,Wireless Access Point (WAP),Wireless Access Point (WAP)
135,1.3.6.1.4.1.9.1.1118,CISCO,861NPE,Router,Router
136,1.3.6.1.4.1.9.1.1119,CISCO,881NPE,Router,Router
137,1.3.6.1.4.1.9.1.112,CISCO,WSX3011,Switch,Switch
138,1.3.6.1.4.1.9.1.1120,CISCO,881GPE,Router,Router
139,1.3.6.1.4.1.9.1.1121,CISCO,887NPE,Router,Router
140,1.3.6.1.4.1.9.1.1122,CISCO,888GNPE,Router,Router
141,1.3.6.1.4.1.9.1.1123,CISCO,891NPE,Router,Router
142,1.3.6.1.4.1.9.1.1124,CISCO,AIR AP3501,Wireless Access Point (WAP),Wireless Access Point (WAP)
143,1.3.6.1.4.1.9.1.1125,CISCO,AIRONET 3502,Wireless Access Point (WAP),Wireless Access Point (WAP)
144,1.3.6.1.4.1.9.1.1127,CISCO,CDS CDE400,Switch,Switch
145,1.3.6.1.4.1.9.1.1128,CISCO,SA520K9,Firewall,Firewall
146,1.3.6.1.4.1.9.1.1129,CISCO,SA520WK9,Firewall,Firewall
147,1.3.6.1.4.1.9.1.113,CISCO,1601,Router,Router
148,1.3.6.1.4.1.9.1.1130,CISCO,SPS 2004B,Router,Router
149,1.3.6.1.4.1.9.1.1131,CISCO,SPS 204B,Router,Router
150,1.3.6.1.4.1.9.1.1132,CISCO,UC560T1E1K9,Router,Router
151,1.3.6.1.4.1.9.1.1133,CISCO,UC560BRIK9,Router,Router
152,1.3.6.1.4.1.9.1.1134,CISCO,UC560FXOK9,Router,Router
153,1.3.6.1.4.1.9.1.1135,CISCO,AP 541N AK9,Wireless Access Point (WAP),Wireless Access Point (WAP)
154,1.3.6.1.4.1.9.1.1136,CISCO,AP 541N EK9,Wireless Access Point (WAP),Wireless Access Point (WAP)
155,1.3.6.1.4.1.9.1.1137,CISCO,AP 541N NK9,Wireless Access Point (WAP),Wireless Access Point (WAP)
156,1.3.6.1.4.1.9.1.1138,CISCO,887GV,Router,Router
157,1.3.6.1.4.1.9.1.1139,CISCO,887SRST,Router,Router
158,1.3.6.1.4.1.9.1.114,CISCO,1602,Wireless Access Point (WAP),Wireless Access Point (WAP)
159,1.3.6.1.4.1.9.1.1140,CISCO,UC540WFXOK9,Router,Router
160,1.3.6.1.4.1.9.1.1141,CISCO,UC540WBRIK9,Router,Router
161,1.3.6.1.4.1.9.1.1142,CISCO,CASERVER,Server,Server
162,1.3.6.1.4.1.9.1.1143,CISCO,CAMANAGER,Not Found,Not Found
163,1.3.6.1.4.1.9.1.1144,CISCO,3925E ISR,Router,Router
164,1.3.6.1.4.1.9.1.1145,CISCO,3945E ISR,Router,Router
165,1.3.6.1.4.1.9.1.1146,CISCO,CATALYST 2960-24LC-S,Switch,Switch
166,1.3.6.1.4.1.9.1.1147,CISCO,CATALYST 2960-24PC-S,Switch,Switch
167,1.3.6.1.4.1.9.1.1148,CISCO,CATALYST 2960-48PST-S,Switch,Switch
168,1.3.6.1.4.1.9.1.1149,CISCO,SRE 300 ISM,Server,Server
169,1.3.6.1.4.1.9.1.115,CISCO,1603,Switch,Switch
170,1.3.6.1.4.1.9.1.1150,CISCO,SM,Switch,Switch
171,1.3.6.1.4.1.9.1.1151,CISCO,NMEAXP,Router,Router
172,1.3.6.1.4.1.9.1.1152,CISCO,AIMAXP,AIM,AIM
173,1.3.6.1.4.1.9.1.1153,CISCO,AIM2AXP,AIM,AIM
174,1.3.6.1.4.1.9.1.1154,CISCO,SRP 521,Router,Router
175,1.3.6.1.4.1.9.1.1155,CISCO,SRP 526,Router,Router
176,1.3.6.1.4.1.9.1.1156,CISCO,SRP 527,Router,Router
177,1.3.6.1.4.1.9.1.1157,CISCO,SRP 541,Router,Router
178,1.3.6.1.4.1.9.1.1158,CISCO,SRP 546,Router,Router
179,1.3.6.1.4.1.9.1.1159,CISCO,SRP 549,Router,Router
180,1.3.6.1.4.1.9.1.116,CISCO,1604,Router,Router
181,1.3.6.1.4.1.9.1.1160,CISCO,VS510 FXO,Not Found,Not Found
182,1.3.6.1.4.1.9.1.1161,CISCO,NMWAE 900,Load Balancer,Load Balancer
183,1.3.6.1.4.1.9.1.1162,CISCO,NMWAE 700,Load Balancer,Load Balancer
184,1.3.6.1.4.1.9.1.1163,CISCO,5940RA,Router,Router
185,1.3.6.1.4.1.9.1.1164,CISCO,5940RC,Router,Router
186,1.3.6.1.4.1.9.1.1165,CISCO,ASR 1001,Router,Router
187,1.3.6.1.4.1.9.1.1166,CISCO,ASR 1013,Router,Router
188,1.3.6.1.4.1.9.1.1167,CISCO,CDSCDE 205,Not Found,Not Found
189,1.3.6.1.4.1.9.1.1168,CISCO,PWR1941 AC,Router,Router
190,1.3.6.1.4.1.9.1.1169,CISCO,NAM VIRTUAL BLADE,Virtual Machine,Virtual Machine
191,1.3.6.1.4.1.9.1.117,CISCO,PRO 1601,Router,Router
192,1.3.6.1.4.1.9.1.1170,CISCO,RAIE1783 RMS06T,Switch,Switch
193,1.3.6.1.4.1.9.1.1171,CISCO,RAIE1783 RMS10T,Switch,Switch
194,1.3.6.1.4.1.9.1.1172,CISCO,1941W-E-K9,Router,Router
195,1.3.6.1.4.1.9.1.1173,CISCO,1941WPK9,Router,Router
196,1.3.6.1.4.1.9.1.1174,CISCO,1941WNK9,Router,Router
197,1.3.6.1.4.1.9.1.1175,CISCO,MXE 5600,Router,Router
198,1.3.6.1.4.1.9.1.1176,CISCO,ESW540 8PK9,Switch,Switch
199,1.3.6.1.4.1.9.1.1177,CISCO,ESW520 8PK9,Switch,Switch
200,1.3.6.1.4.1.9.1.1178,CISCO,CATALYST 4948E,Switch,Switch
201,1.3.6.1.4.1.9.1.1179,CISCO,CATALYST 2960X-24TS-S,Switch,Switch
202,1.3.6.1.4.1.9.1.118,CISCO,PRO 1602,Router,Router
203,1.3.6.1.4.1.9.1.1180,CISCO,CATALYST 2960X-48TS-S,Switch,Switch
204,1.3.6.1.4.1.9.1.1181,CISCO,CATALYST 2960X-48FPD-L,Switch,Switch
205,1.3.6.1.4.1.9.1.1182,CISCO,CATALYST 2960X-48LPD-L,Switch,Switch
206,1.3.6.1.4.1.9.1.1183,CISCO,CATALYST 2960X-48LTD-L,Switch,Switch
207,1.3.6.1.4.1.9.1.1184,CISCO,CATALYST 2960X-24PD-L,Switch,Switch
208,1.3.6.1.4.1.9.1.1185,CISCO,CATALYST 2960X-24TD-L,Switch,Switch
209,1.3.6.1.4.1.9.1.1186,CISCO,CATALYST 2960X-48FPS-L,Switch,Switch
210,1.3.6.1.4.1.9.1.1187,CISCO,CATALYST 2960-XS 48 LPSL,Switch,Switch
211,1.3.6.1.4.1.9.1.1188,CISCO,CATALYST 2960X-24PS-L,Switch,Switch
212,1.3.6.1.4.1.9.1.1189,CISCO,CATALYST 2960X-48TS-L,Switch,Switch
213,1.3.6.1.4.1.9.1.119,CISCO,PRO 1603,Router,Router
214,1.3.6.1.4.1.9.1.1190,CISCO,CATALYST 2960X-24TS-L,Switch,Switch
215,1.3.6.1.4.1.9.1.1191,CISCO,1921,Router,Router
216,1.3.6.1.4.1.9.1.1192,CISCO,1905 ISR,Router,Router
217,1.3.6.1.4.1.9.1.1193,CISCO,PWR C1921C1905 AC,Router,Router
218,1.3.6.1.4.1.9.1.1194,CISCO,ASA 5585-SSP-10,Firewall,Firewall
219,1.3.6.1.4.1.9.1.1195,CISCO,ASA 5585-SSP-20,Firewall,Firewall
220,1.3.6.1.4.1.9.1.1196,CISCO,ASA 5585-X 40,Firewall,Firewall
221,1.3.6.1.4.1.9.1.1197,CISCO,ASA 5585-X 60,Firewall,Firewall
222,1.3.6.1.4.1.9.1.1198,CISCO,ASA 5585-X 10,Firewall,Firewall
223,1.3.6.1.4.1.9.1.1199,CISCO,ASA5585-S20X-K9,Firewall,Firewall
224,1.3.6.1.4.1.9.1.12,CISCO,7010,Router,Router
225,1.3.6.1.4.1.9.1.120,CISCO,PRO 1604,Router,Router
226,1.3.6.1.4.1.9.1.1200,CISCO,ASA 5585-SSP-40-SC,Firewall,Firewall
227,1.3.6.1.4.1.9.1.1201,CISCO,ASA 5585-SSP-60-SC,Firewall,Firewall
228,1.3.6.1.4.1.9.1.1202,CISCO,ASA 5585 SSP 10 SY,Firewall,Firewall
229,1.3.6.1.4.1.9.1.1203,CISCO,ASA 5585 SSP 20 SY,Firewall,Firewall
230,1.3.6.1.4.1.9.1.1204,CISCO,ASA 5585 SSP 40 SY,Firewall,Firewall
231,1.3.6.1.4.1.9.1.1205,CISCO,ASA 5585 SSP 60 SY,Firewall,Firewall
232,1.3.6.1.4.1.9.1.1206,CISCO,3945E-SPE250,Router,Router
233,1.3.6.1.4.1.9.1.1207,CISCO,3945SPE200,Router,Router
234,1.3.6.1.4.1.9.1.1208,CISCO,CATALYST 2960S-48LPS-L,Switch,Switch
235,1.3.6.1.4.1.9.1.1209,CISCO,OE NM302,Not Found,Not Found
236,1.3.6.1.4.1.9.1.121,CISCO,WSX5301,Switch,Switch
237,1.3.6.1.4.1.9.1.1210,CISCO,NME-WAE-502-K9,Load Balancer,Load Balancer
238,1.3.6.1.4.1.9.1.1211,CISCO,OE NM522,Not Found,Not Found
239,1.3.6.1.4.1.9.1.1212,CISCO,SRE 700 SM,Server,Server
240,1.3.6.1.4.1.9.1.1213,CISCO,SRE 900 SM,Server,Server
241,1.3.6.1.4.1.9.1.1214,CISCO,VIRTUAL SWITCH NAM,Switch,Switch
242,1.3.6.1.4.1.9.1.1215,CISCO,MWR-2941 DCA,Router,Router
243,1.3.6.1.4.1.9.1.1216,CISCO,NEXUS C7018,Switch,Switch
244,1.3.6.1.4.1.9.1.1217,CISCO,NEXUS C7010,Switch,Switch
245,1.3.6.1.4.1.9.1.1218,CISCO,NEXUS 4000,Switch,Switch
246,1.3.6.1.4.1.9.1.1219,CISCO,NEXUS 4000,Switch,Switch
247,1.3.6.1.4.1.9.1.122,CISCO,3620,Router,Router
248,1.3.6.1.4.1.9.1.1220,CISCO,1941WCK9,Router,Router
249,1.3.6.1.4.1.9.1.1221,CISCO,CDS CDE2202S3,Not Found,Not Found
250,1.3.6.1.4.1.9.1.1222,CISCO,CATALYST 3750 24 PORT,Switch,Switch
251,1.3.6.1.4.1.9.1.1223,CISCO,CATALYST 3750 48 PORT,Switch,Switch
252,1.3.6.1.4.1.9.1.1224,CISCO,CATALYST 3750 24 PORT,Switch,Switch
253,1.3.6.1.4.1.9.1.1225,CISCO,CATALYST 3750 48 PORT,Switch,Switch
254,1.3.6.1.4.1.9.1.1226,CISCO,CATALYST 3560X-24T,Switch,Switch
255,1.3.6.1.4.1.9.1.1227,CISCO,CATALYST 3560X-48T,Switch,Switch
256,1.3.6.1.4.1.9.1.1228,CISCO,CATALYST 3560X-24P,Switch,Switch
257,1.3.6.1.4.1.9.1.1229,CISCO,CATALYST 3560X-48PF,Switch,Switch
258,1.3.6.1.4.1.9.1.123,CISCO,PRO 3620 MULTISERVICE BRANCH OFFICE ROUTER,Router,Router
259,1.3.6.1.4.1.9.1.1230,CISCO,NMEAIR,Not Found,Not Found
260,1.3.6.1.4.1.9.1.1231,CISCO,ACE 30-K9,Load Balancer,Load Balancer
261,1.3.6.1.4.1.9.1.1232,CISCO,ASA 5585 IPS,Firewall,Firewall
262,1.3.6.1.4.1.9.1.1233,CISCO,ASA 5585 SSP IPS20,Firewall,Firewall
263,1.3.6.1.4.1.9.1.1234,CISCO,ASA 5585 SSP IPS40,Firewall,Firewall
264,1.3.6.1.4.1.9.1.1235,CISCO,ASA 5585 SSP IPS60,Firewall,Firewall
265,1.3.6.1.4.1.9.1.1236,CISCO,1841CK9,Router,Router
266,1.3.6.1.4.1.9.1.1237,CISCO,2801CK9,Router,Router
267,1.3.6.1.4.1.9.1.1238,CISCO,2811CK9,Router,Router
268,1.3.6.1.4.1.9.1.1239,CISCO,2821CK9,Router,Router
269,1.3.6.1.4.1.9.1.124,CISCO,PRO 3640 MULTISERVICE BRANCH OFFICE ROUTER,Router,Router
270,1.3.6.1.4.1.9.1.1240,CISCO,2851CK9,Router,Router
271,1.3.6.1.4.1.9.1.1241,CISCO,3825CK9,Router,Router
272,1.3.6.1.4.1.9.1.1242,CISCO,3845CK9,Router,Router
273,1.3.6.1.4.1.9.1.1243,CISCO,3825CNVK9,Router,Router
274,1.3.6.1.4.1.9.1.1244,CISCO,3845CNVK9,Router,Router
275,1.3.6.1.4.1.9.1.1245,CISCO,CGS-2520-24TC,Switch,Switch
276,1.3.6.1.4.1.9.1.1246,CISCO,CGS-2520-16S-8PC,Switch,Switch
277,1.3.6.1.4.1.9.1.1247,CISCO,AIR AP1262,Wireless Access Point (WAP),Wireless Access Point (WAP)
278,1.3.6.1.4.1.9.1.1248,CISCO,AIR AP1261,Wireless Access Point (WAP),Wireless Access Point (WAP)
279,1.3.6.1.4.1.9.1.1249,CISCO,892F,Router,Router
280,1.3.6.1.4.1.9.1.125,CISCO,7204,Router,Router
281,1.3.6.1.4.1.9.1.1250,CISCO,ME 3600-24FS-M,Switch,Switch
282,1.3.6.1.4.1.9.1.1251,CISCO,ME 3600X-24TS-M,Switch,Switch
283,1.3.6.1.4.1.9.1.1252,CISCO,ME 3800-24FS-M,Switch,Switch
284,1.3.6.1.4.1.9.1.1253,CISCO,CGR 2010,Switch,Switch
285,1.3.6.1.4.1.9.1.1254,CISCO,PWR CGR2000CGS2500POE AC,Switch,Switch
286,1.3.6.1.4.1.9.1.1255,CISCO,PWR CGR2000CGS2500POE DC,Switch,Switch
287,1.3.6.1.4.1.9.1.1256,CISCO,CATALYST 2960S-48TS-S,Switch,Switch
288,1.3.6.1.4.1.9.1.1257,CISCO,CATALYST 2960S-24TS-S,Switch,Switch
289,1.3.6.1.4.1.9.1.1258,CISCO,CATALYST 2960S-48FPD-L,Switch,Switch
290,1.3.6.1.4.1.9.1.1259,CISCO,CATALYST 2960S-48LPD-L,Switch,Switch
291,1.3.6.1.4.1.9.1.126,CISCO,771 ISDN ACCESS ROUTER,Router,Router
292,1.3.6.1.4.1.9.1.1260,CISCO,CATALYST 2960S-48TD-L,Switch,Switch
293,1.3.6.1.4.1.9.1.1261,CISCO,CATALYST 2960S-24PD-L,Switch,Switch
294,1.3.6.1.4.1.9.1.1262,CISCO,CATALYST 2960S-24TD-L,Switch,Switch
295,1.3.6.1.4.1.9.1.1263,CISCO,CATALYST 2960S-48FPS-L,Switch,Switch
296,1.3.6.1.4.1.9.1.1264,CISCO,CATALYST 2960S-48LPS-L,Switch,Switch
297,1.3.6.1.4.1.9.1.1265,CISCO,CATALYST 2960-S 24 PORT PSL,Switch,Switch
298,1.3.6.1.4.1.9.1.1266,CISCO,CATALYST 2960S-48TS-L,Switch,Switch
299,1.3.6.1.4.1.9.1.1267,CISCO,CATALYST 2960S-24TS-L,Switch,Switch
300,1.3.6.1.4.1.9.1.1268,CISCO,1906CK9,Not Found,Not Found
301,1.3.6.1.4.1.9.1.1269,CISCO,AIR AP1042,Wireless Access Point (WAP),Wireless Access Point (WAP)
302,1.3.6.1.4.1.9.1.127,CISCO,772 ISDN ACCESS ROUTER,Router,Router
303,1.3.6.1.4.1.9.1.1270,CISCO,AIR AP1041,Wireless Access Point (WAP),Wireless Access Point (WAP)
304,1.3.6.1.4.1.9.1.1271,CISCO,887VA,Router,Router
305,1.3.6.1.4.1.9.1.1272,CISCO,867VA,Router,Router
306,1.3.6.1.4.1.9.1.1273,CISCO,886VA,Router,Router
307,1.3.6.1.4.1.9.1.1274,CISCO,887VA,Router,Router
308,1.3.6.1.4.1.9.1.1275,CISCO,WS-SVC-ASA-SM1-K9,Firewall,Firewall
309,1.3.6.1.4.1.9.1.1276,CISCO,ASA 5500 SERIES,Firewall,Firewall
310,1.3.6.1.4.1.9.1.1277,CISCO,ASA 5500 SERIES,Firewall,Firewall
311,1.3.6.1.4.1.9.1.1278,CISCO,CATALYST 2960C PD-8TT,Switch,Switch
